Original_Contig_Name	Bin	Sample
AB_1215_scaffold_100354	NoBin	AB_1215
AB_1215_scaffold_100355	NoBin	AB_1215
AB_1215_scaffold_100356	NoBin	AB_1215
AB_1215_scaffold_100357	NoBin	AB_1215
AB_1215_scaffold_100358	AB_1215_Bin_19	AB_1215
AB_1215_scaffold_100359	NoBin	AB_1215
AB_1215_scaffold_10036	AB_1215_Bin_67	AB_1215
AB_1215_scaffold_100360	NoBin	AB_1215
AB_1215_scaffold_100361	NoBin	AB_1215
AB_1215_scaffold_100362	NoBin	AB_1215
AB_1215_scaffold_100363	NoBin	AB_1215
AB_1215_scaffold_100364	AB_1215_Bin_83	AB_1215
AB_1215_scaffold_100365	NoBin	AB_1215
AB_1215_scaffold_100366	NoBin	AB_1215
AB_1215_scaffold_100367	NoBin	AB_1215
AB_1215_scaffold_100368	NoBin	AB_1215
AB_1215_scaffold_100369	NoBin	AB_1215
AB_1215_scaffold_10037	AB_1215_Bin_71	AB_1215
AB_1215_scaffold_100370	AB_1215_Bin_88	AB_1215
AB_1215_scaffold_100371	NoBin	AB_1215
AB_1215_scaffold_100372	AB_1215_Bin_3	AB_1215
AB_1215_scaffold_100373	NoBin	AB_1215
AB_1215_scaffold_100374	NoBin	AB_1215
AB_1215_scaffold_100375	NoBin	AB_1215
AB_1215_scaffold_100376	NoBin	AB_1215
AB_1215_scaffold_100377	NoBin	AB_1215
AB_1215_scaffold_100378	AB_1215_Bin_81	AB_1215
AB_1215_scaffold_100379	NoBin	AB_1215
AB_1215_scaffold_10038	NoBin	AB_1215
AB_1215_scaffold_100380	NoBin	AB_1215
AB_1215_scaffold_100381	AB_1215_Bin_87	AB_1215
AB_1215_scaffold_100382	NoBin	AB_1215
AB_1215_scaffold_100383	NoBin	AB_1215
AB_1215_scaffold_100384	AB_1215_Bin_101	AB_1215
AB_1215_scaffold_100385	NoBin	AB_1215
AB_1215_scaffold_100386	AB_1215_Bin_22	AB_1215
AB_1215_scaffold_100387	NoBin	AB_1215
AB_1215_scaffold_100388	NoBin	AB_1215
AB_1215_scaffold_100389	NoBin	AB_1215
AB_1215_scaffold_10039	NoBin	AB_1215
AB_1215_scaffold_100390	NoBin	AB_1215
AB_1215_scaffold_100391	NoBin	AB_1215
AB_1215_scaffold_100392	AB_1215_Bin_112	AB_1215
AB_1215_scaffold_100393	AB_1215_Bin_70	AB_1215
AB_1215_scaffold_100394	AB_1215_Bin_131	AB_1215
AB_1215_scaffold_100395	AB_1215_Bin_92	AB_1215
AB_1215_scaffold_100396	NoBin	AB_1215
AB_1215_scaffold_100397	NoBin	AB_1215
AB_1215_scaffold_100398	AB_1215_Bin_90	AB_1215
AB_1215_scaffold_100399	NoBin	AB_1215
AB_1215_scaffold_1004	AB_1215_Bin_2	AB_1215
AB_1215_scaffold_10040	NoBin	AB_1215
AB_1215_scaffold_100400	AB_1215_Bin_112	AB_1215
AB_1215_scaffold_100401	NoBin	AB_1215
AB_1215_scaffold_100402	NoBin	AB_1215
AB_1215_scaffold_100403	AB_1215_Bin_7	AB_1215
AB_1215_scaffold_100404	AB_1215_Bin_115	AB_1215
AB_1215_scaffold_100405	NoBin	AB_1215
AB_1215_scaffold_100406	AB_1215_Bin_142	AB_1215
AB_1215_scaffold_100407	NoBin	AB_1215
AB_1215_scaffold_100408	NoBin	AB_1215
AB_1215_scaffold_100409	NoBin	AB_1215
AB_1215_scaffold_10041	NoBin	AB_1215
AB_1215_scaffold_100410	NoBin	AB_1215
AB_1215_scaffold_100411	NoBin	AB_1215
AB_1215_scaffold_100412	NoBin	AB_1215
AB_1215_scaffold_100413	NoBin	AB_1215
AB_1215_scaffold_100414	NoBin	AB_1215
AB_1215_scaffold_100415	NoBin	AB_1215
AB_1215_scaffold_100416	NoBin	AB_1215
AB_1215_scaffold_100417	AB_1215_Bin_16	AB_1215
AB_1215_scaffold_100418	AB_1215_Bin_106	AB_1215
AB_1215_scaffold_100419	NoBin	AB_1215
AB_1215_scaffold_10042	AB_1215_Bin_83	AB_1215
AB_1215_scaffold_100420	NoBin	AB_1215
AB_1215_scaffold_100421	NoBin	AB_1215
AB_1215_scaffold_100422	NoBin	AB_1215
AB_1215_scaffold_100423	NoBin	AB_1215
AB_1215_scaffold_100424	NoBin	AB_1215
AB_1215_scaffold_100425	NoBin	AB_1215
AB_1215_scaffold_100426	NoBin	AB_1215
AB_1215_scaffold_100427	NoBin	AB_1215
AB_1215_scaffold_100428	AB_1215_Bin_134	AB_1215
AB_1215_scaffold_100429	NoBin	AB_1215
AB_1215_scaffold_10043	NoBin	AB_1215
AB_1215_scaffold_100430	NoBin	AB_1215
AB_1215_scaffold_100431	NoBin	AB_1215
AB_1215_scaffold_100432	NoBin	AB_1215
AB_1215_scaffold_100433	NoBin	AB_1215
AB_1215_scaffold_100434	NoBin	AB_1215
AB_1215_scaffold_100435	NoBin	AB_1215
AB_1215_scaffold_100436	NoBin	AB_1215
AB_1215_scaffold_100437	NoBin	AB_1215
AB_1215_scaffold_100438	NoBin	AB_1215
AB_1215_scaffold_100439	NoBin	AB_1215
AB_1215_scaffold_10044	NoBin	AB_1215
AB_1215_scaffold_100440	NoBin	AB_1215
AB_1215_scaffold_100441	NoBin	AB_1215
AB_1215_scaffold_100442	AB_1215_Bin_101	AB_1215
AB_1215_scaffold_100443	NoBin	AB_1215
AB_1215_scaffold_100444	NoBin	AB_1215
AB_1215_scaffold_100445	NoBin	AB_1215
AB_1215_scaffold_100446	NoBin	AB_1215
AB_1215_scaffold_100447	NoBin	AB_1215
AB_1215_scaffold_100448	NoBin	AB_1215
AB_1215_scaffold_100449	NoBin	AB_1215
AB_1215_scaffold_10045	NoBin	AB_1215
AB_1215_scaffold_100450	NoBin	AB_1215
AB_1215_scaffold_100451	NoBin	AB_1215
AB_1215_scaffold_100452	NoBin	AB_1215
AB_1215_scaffold_100453	AB_1215_Bin_75	AB_1215
AB_1215_scaffold_100454	NoBin	AB_1215
AB_1215_scaffold_100455	AB_1215_Bin_19	AB_1215
AB_1215_scaffold_100456	NoBin	AB_1215
AB_1215_scaffold_100457	NoBin	AB_1215
AB_1215_scaffold_100458	NoBin	AB_1215
AB_1215_scaffold_100459	NoBin	AB_1215
AB_1215_scaffold_10046	NoBin	AB_1215
AB_1215_scaffold_100460	NoBin	AB_1215
AB_1215_scaffold_100461	NoBin	AB_1215
